i;Bissection;Section;Newton;Halley
0;3.5000000000000000;1.0000000000000000;2.9999990463256836;2.0000000000000000
1;2.2500000000000000;5.0000000000000000;2.9999990463256836;2.5000000000000000
2;2.8750000000000000;3.0000000000000000;2.5555555555555558;2.7500000000000000
3;3.1875000000000000;3.0000000000000000;2.7037037037037037;2.8750000000000000
4;3.0312500000000000;;2.8024691358024691;2.9375000000000000
5;2.9531250000000000;;2.8683127572016462;2.9687500000000000
6;2.9921875000000000;;2.9122085048010975;2.9843750000000000
7;3.0117187500000000;;2.9414723365340651;2.9921875000000000
8;3.0019531250000000;;2.9609815576893763;2.9960937500000000
9;2.9970703125000000;;2.9739877051262513;2.9980468750000000
10;2.9995117187500000;;2.9826584700841678;2.9990234375000000
11;3.0007324218750000;;2.9884389800561109;2.9995117187500000
12;3.0001220703125000;;2.9922926533707255;2.9997558593750000
13;2.9998168945312500;;2.9948617689138226;2.9998779296875000
14;2.9999694824218750;;2.9965745126092407;2.9999389648437500
15;3.0000457763671875;;2.9977163417395221;2.9999694824218750
16;3.0000076293945312;;2.9984775611595968;2.9999847412109375
17;2.9999885559082031;;2.9989850407730900;2.9999923706054687
18;2.9999980926513672;;2.9993233605164336;2.9999961853027344
19;3.0000028610229492;;2.9995489070085730;2.9999980926513672
20;3.0000004768371582;;2.9996992713447606;2.9999990463256836
21;3.0000016689300537;;2.9997995142227833;2.9999990463256836
22;3.0000022649765015;;2.9998663428226084;;
23;3.0000025629997253;;2.9999108951459168;;
24;3.0000027120113373;;2.9999405965461858;;
25;3.0000027865171432;;2.9999603979657099;;
26;3.0000028237700462;;2.9999735981896301;;
27;3.0000028423964977;;2.9999823980361429;;
28;3.0000028517097235;;2.9999882620222396;;
29;3.0000028563663363;;2.9999921818710185;;
30;3.0000028586946428;;2.9999947929043844;;
31;3.0000028598587960;;2.9999965843234104;;
32;3.0000028604408726;;2.9999977738297638;;
33;3.0000028607319109;;2.9999982405453034;;
34;3.0000028608774301;;2.9999989877039988;;
35;3.0000028609501896;;3.0000012448199800;;
36;3.0000028609865694;;3.0000012448199800;;
37;3.0000028610047593;;;;
38;3.0000028610138543;;;;
39;3.0000028610184017;;;;
40;3.0000028610206755;;;;
41;3.0000028610218124;;;;
42;3.0000028610223808;;;;
43;3.0000028610226650;;;;
44;3.0000028610228071;;;;
45;3.0000028610228782;;;;
46;3.0000028610229137;;;;
47;3.0000028610229315;;;;
48;3.0000028610229403;;;;
49;3.0000028610229448;;;;
50;3.0000028610229470;;;;
51;3.0000028610229483;;;;
